skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Maria Sotskova,rus,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,66.10,31.36,34.39,31.71
Maria Sotskova,rus,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,67.69,31.53,37.14,31.55
Maria Sotskova,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,69.76,33.06,38.14,31.62
Maria Sotskova,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,72.17,33.06,39.66,32.51
Maria Sotskova,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,65.74,30.20,33.31,32.43
Maria Sotskova,rus,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,69.96,32.46,37.78,32.18
Maria Sotskova,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,68.71,33.06,38.56,30.15
Maria Sotskova,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",short,61.58,29.46,32.74,28.84
Maria Sotskova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,132.11,60.04,65.30,67.81
Maria Sotskova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,145.37,62.62,71.03,74.34
Maria Sotskova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,142.28,62.62,73.59,68.69
Maria Sotskova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,140.99,62.52,73.78,67.21
Maria Sotskova,rus,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,126.42,57.46,61.34,65.08
Maria Sotskova,rus,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",long,137.61,60.92,69.68,67.93
Maria Sotskova,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,122.44,52.79,58.65,64.79
Maria Sotskova,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,120.35,57.69,59.19,63.16
Maria Sotskova,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,133.05,59.83,66.77,66.28
Maria Sotskova,rus,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,125.92,54.33,58.83,67.09
Maria Sotskova,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,131.64,61.04,67.77,63.87
Maria Sotskova,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",long,128.38,60.44,67.10,61.28
Satoko Miyahara,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",short,71.74,31.04,37.34,34.40
Satoko Miyahara,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",short,73.23,31.54,37.40,35.83
Satoko Miyahara,jpn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,74.61,32.84,39.39,35.22
Satoko Miyahara,jpn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,70.72,32.84,36.77,33.95
Satoko Miyahara,jpn,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,65.05,27.44,31.02,34.03
Satoko Miyahara,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,74.64,33.54,40.99,33.65
Satoko Miyahara,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,64.20,28.26,32.08,33.12
Satoko Miyahara,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,65.24,29.42,32.09,33.15
Satoko Miyahara,jpn,2016 US Int'l FS Classic,Salt Lake City / USA,"Sept. 18, 2016",short,70.09,32.33,37.53,32.56
Satoko Miyahara,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",long,135.28,59.56,66.52,69.76
Satoko Miyahara,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",long,147.16,61.04,72.75,74.41
Satoko Miyahara,jpn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,138.88,58.14,67.00,71.88
Satoko Miyahara,jpn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,143.31,62.84,72.23,71.08
Satoko Miyahara,jpn,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,126.75,53.23,58.23,68.52
Satoko Miyahara,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,143.69,61.24,73.24,70.45
Satoko Miyahara,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,133.80,57.96,64.64,69.16
Satoko Miyahara,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,126.84,54.98,59.42,67.42
Satoko Miyahara,jpn,2016 US Int'l FS Classic,Salt Lake City / USA,"Sept. 18, 2016",long,136.66,61.24,70.02,66.64
Alina Zagitova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,80.27,34.97,43.99,36.28
Alina Zagitova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,78.15,34.97,41.26,36.89
Alina Zagitova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,76.27,34.97,41.21,35.06
Alina Zagitova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,62.46,31.34,32.27,31.19
Alina Zagitova,rus,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,69.44,34.97,39.01,31.43
Alina Zagitova,rus,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,71.29,34.97,40.65,31.64
Alina Zagitova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,157.97,66.01,82.67,75.30
Alina Zagitova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,155.44,64.58,79.36,76.08
Alina Zagitova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,147.03,66.01,76.61,70.42
Alina Zagitova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,151.34,66.01,81.80,69.54
Alina Zagitova,rus,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,144.44,64.03,76.09,68.35
Alina Zagitova,rus,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,147.17,66.01,79.65,67.52
Carolina Kostner,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,78.30,31.63,39.93,38.37
Carolina Kostner,ita,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,72.82,27.63,35.36,37.46
Carolina Kostner,ita,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,74.57,30.63,37.25,37.32
Carolina Kostner,ita,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,74.62,30.63,37.93,36.69
Carolina Kostner,ita,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,67.45,27.33,32.02,36.43
Carolina Kostner,ita,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,71.67,27.63,34.87,36.80
Carolina Kostner,ita,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,66.33,29.53,32.44,33.89
Carolina Kostner,ita,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,72.40,29.83,36.80,35.60
Carolina Kostner,ita,2016 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 10, 2016",short,69.95,30.33,35.07,34.88
Carolina Kostner,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,125.95,46.23,51.86,75.09
Carolina Kostner,ita,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,141.83,53.34,66.87,74.96
Carolina Kostner,ita,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,137.67,52.02,62.96,75.71
Carolina Kostner,ita,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,141.36,56.75,68.09,73.27
Carolina Kostner,ita,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",long,126.31,46.64,53.95,72.36
Carolina Kostner,ita,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,126.69,49.49,55.57,71.12
Carolina Kostner,ita,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,130.50,51.16,59.47,71.03
Carolina Kostner,ita,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,138.12,55.50,64.45,73.67
Carolina Kostner,ita,2016 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 10, 2016",long,126.28,48.88,55.40,70.88
Mirai Nagasu,usa,2018 US Nationals,San Jose / USA,"Jan. 6, 2018",short,73.09,37.01,41.90,31.19
Mirai Nagasu,usa,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,65.17,34.12,34.45,30.72
Mirai Nagasu,usa,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,56.15,29.82,27.91,30.24
Mirai Nagasu,usa,2017 US Int'l FS Classic,Salt Lake City / USA,"Sept. 17, 2017",short,63.81,34.53,34.29,29.52
Mirai Nagasu,usa,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,62.91,29.89,32.43,30.48
Mirai Nagasu,usa,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,63.49,29.34,32.42,31.07
Mirai Nagasu,usa,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,53.19,25.09,24.85,29.34
Mirai Nagasu,usa,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,73.40,32.14,40.40,33.00
Mirai Nagasu,usa,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",short,61.29,29.27,32.49,29.80
Mirai Nagasu,usa,2018 US Nationals,San Jose / USA,"Jan. 6, 2018",long,140.75,65.08,73.33,67.42
Mirai Nagasu,usa,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,129.29,60.89,66.20,63.09
Mirai Nagasu,usa,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,122.10,60.91,61.64,60.46
Mirai Nagasu,usa,2017 US Int'l FS Classic,Salt Lake City / USA,"Sept. 17, 2017",long,119.73,58.25,57.45,63.28
Mirai Nagasu,usa,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,132.04,60.77,69.81,62.23
Mirai Nagasu,usa,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,116.84,52.89,55.71,61.13
Mirai Nagasu,usa,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,98.23,43.63,42.10,56.13
Mirai Nagasu,usa,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",long,115.71,49.77,51.47,64.24
Mirai Nagasu,usa,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",long,115.57,49.77,54.57,62.00
Gabrielle Daleman,can,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,68.08,31.73,35.10,32.98
Gabrielle Daleman,can,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,70.65,31.83,37.51,33.14
Gabrielle Daleman,can,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,60.72,28.33,30.03,31.69
Gabrielle Daleman,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,72.19,31.83,39.19,33.00
Gabrielle Daleman,can,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,68.25,32.13,36.97,31.28
Gabrielle Daleman,can,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,72.70,31.53,39.35,33.35
Gabrielle Daleman,can,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,64.49,30.06,34.06,30.43
Gabrielle Daleman,can,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,121.06,49.64,55.93,65.13
Gabrielle Daleman,can,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,126.18,56.84,61.05,65.13
Gabrielle Daleman,can,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",long,114.11,53.41,55.24,61.87
Gabrielle Daleman,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,141.33,59.78,71.73,69.60
Gabrielle Daleman,can,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,128.66,55.32,63.71,64.95
Gabrielle Daleman,can,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,119.40,51.58,55.26,65.14
Gabrielle Daleman,can,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,122.14,56.15,62.11,61.03
Kaori Sakamoto,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",short,71.34,32.50,39.72,31.62
Kaori Sakamoto,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",short,73.59,33.10,40.93,32.66
Kaori Sakamoto,jpn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,69.40,32.00,38.26,31.14
Kaori Sakamoto,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,68.88,32.50,38.59,30.29
Kaori Sakamoto,jpn,2017 US Int'l FS Classic,Salt Lake City / USA,"Sept. 17, 2017",short,56.82,29.70,30.94,26.88
Kaori Sakamoto,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",long,142.87,61.39,74.78,68.09
Kaori Sakamoto,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",long,139.92,61.49,72.63,67.29
Kaori Sakamoto,jpn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,141.19,62.79,73.71,67.48
Kaori Sakamoto,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,125.12,60.64,62.46,63.66
Kaori Sakamoto,jpn,2017 US Int'l FS Classic,Salt Lake City / USA,"Sept. 17, 2017",long,112.30,51.68,56.18,57.12
Karen Chen,usa,2018 US Nationals,San Jose / USA,"Jan. 6, 2018",short,69.48,30.04,35.68,33.80
Karen Chen,usa,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,59.53,27.21,29.60,30.93
Karen Chen,usa,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,61.77,28.97,31.34,30.43
Karen Chen,usa,2017 US Int'l FS Classic,Salt Lake City / USA,"Sept. 17, 2017",short,66.18,30.94,34.46,31.72
Karen Chen,usa,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,69.98,32.24,38.35,31.63
Karen Chen,usa,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,55.60,24.51,26.32,30.28
Karen Chen,usa,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,58.76,24.93,28.52,30.24
Karen Chen,usa,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",short,58.28,28.39,29.48,29.80
Karen Chen,usa,2016 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 10, 2016",short,54.60,25.34,25.84,29.76
Karen Chen,usa,2016 US Int'l FS Classic,Salt Lake City / USA,"Sept. 18, 2016",short,51.50,26.54,26.14,27.36
Karen Chen,usa,2018 US Nationals,San Jose / USA,"Jan. 6, 2018",long,129.11,52.44,59.53,69.58
Karen Chen,usa,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,123.27,59.60,61.38,61.89
Karen Chen,usa,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,108.63,44.25,46.64,61.99
Karen Chen,usa,2017 US Int'l FS Classic,Salt Lake City / USA,"Sept. 17, 2017",long,116.14,54.92,54.98,62.16
Karen Chen,usa,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,129.31,59.05,65.98,64.33
Karen Chen,usa,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,111.22,48.64,51.85,59.37
Karen Chen,usa,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,119.69,57.18,60.31,59.38
Karen Chen,usa,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",long,121.11,56.85,61.32,60.79
Karen Chen,usa,2016 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 10, 2016",long,101.03,47.21,47.31,54.72
Karen Chen,usa,2016 US Int'l FS Classic,Salt Lake City / USA,"Sept. 18, 2016",long,110.58,48.42,55.38,55.20
