skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Aljona Savchenko Bruno Massot,ger,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,148.59,57.58,73.15,75.44
Aljona Savchenko Bruno Massot,ger,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,133.04,57.50,62.90,71.14
Aljona Savchenko Bruno Massot,ger,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",long,138.38,62.40,68.46,70.92
Meagan Duhamel Eric Radford,can,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,72.18,33.10,37.00,35.18
Meagan Duhamel Eric Radford,can,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,75.37,32.10,39.12,36.25
Meagan Duhamel Eric Radford,can,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,73.53,30.20,37.44,36.09
Meagan Duhamel Eric Radford,can,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,77.14,33.20,41.38,35.76
Meagan Duhamel Eric Radford,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,72.67,33.00,38.12,34.55
Meagan Duhamel Eric Radford,can,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,74.31,35.50,40.90,34.41
Meagan Duhamel Eric Radford,can,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,71.44,36.00,38.44,34.00
Meagan Duhamel Eric Radford,can,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,72.95,37.70,39.53,34.42
Meagan Duhamel Eric Radford,can,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,78.39,38.30,43.90,34.49
Meagan Duhamel Eric Radford,can,2016 Finlandia Trophy,Espoo / FIN,"Oct. 9, 2016",short,66.49,31.70,34.57,32.92
Meagan Duhamel Eric Radford,can,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,138.65,64.20,69.02,70.63
Meagan Duhamel Eric Radford,can,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,140.31,62.70,69.88,71.43
Meagan Duhamel Eric Radford,can,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,148.69,65.90,75.84,72.85
Meagan Duhamel Eric Radford,can,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",long,125.84,58.50,61.24,67.60
Meagan Duhamel Eric Radford,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,133.39,61.50,66.05,68.34
Meagan Duhamel Eric Radford,can,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,137.92,64.30,70.71,67.21
Meagan Duhamel Eric Radford,can,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,134.55,60.60,65.99,68.56
Meagan Duhamel Eric Radford,can,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,131.61,59.70,64.59,67.02
Meagan Duhamel Eric Radford,can,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,139.91,66.80,72.35,68.56
Meagan Duhamel Eric Radford,can,2016 Finlandia Trophy,Espoo / FIN,"Oct. 9, 2016",long,131.29,63.34,65.28,67.01
Natalia Zabiiako Alexander Enbert,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,72.95,32.30,39.61,33.34
Natalia Zabiiako Alexander Enbert,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,75.00,32.30,40.17,34.83
Natalia Zabiiako Alexander Enbert,rus,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,70.15,30.80,36.79,33.36
Natalia Zabiiako Alexander Enbert,rus,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,69.00,31.90,37.59,31.41
Natalia Zabiiako Alexander Enbert,rus,2017 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 9, 2017",short,68.76,30.90,36.52,32.24
Natalia Zabiiako Alexander Enbert,rus,2017 Ondrej Nepela Trophy,Bratislava / SVK,"Sept. 23, 2017",short,64.52,30.60,35.16,29.36
Natalia Zabiiako Alexander Enbert,rus,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,69.22,31.40,37.98,31.24
Natalia Zabiiako Alexander Enbert,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,74.26,33.60,41.74,32.52
Natalia Zabiiako Alexander Enbert,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,72.38,33.20,40.36,32.02
Natalia Zabiiako Alexander Enbert,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,65.79,32.00,34.40,31.39
Natalia Zabiiako Alexander Enbert,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,71.36,33.00,39.50,31.86
Natalia Zabiiako Alexander Enbert,rus,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,69.76,33.20,38.29,31.47
Natalia Zabiiako Alexander Enbert,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",short,67.04,32.00,37.80,29.24
Natalia Zabiiako Alexander Enbert,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,137.23,58.00,68.50,68.73
Natalia Zabiiako Alexander Enbert,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,132.51,61.90,65.02,69.49
Natalia Zabiiako Alexander Enbert,rus,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,127.74,58.70,62.80,65.94
Natalia Zabiiako Alexander Enbert,rus,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,123.70,56.10,60.68,63.02
Natalia Zabiiako Alexander Enbert,rus,2017 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 9, 2017",long,134.20,59.10,67.08,67.12
Natalia Zabiiako Alexander Enbert,rus,2017 Ondrej Nepela Trophy,Bratislava / SVK,"Sept. 23, 2017",long,128.06,61.00,67.58,60.48
Natalia Zabiiako Alexander Enbert,rus,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,126.84,58.00,65.32,61.52
Natalia Zabiiako Alexander Enbert,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,118.28,52.00,55.70,62.58
Natalia Zabiiako Alexander Enbert,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,128.37,54.80,63.91,64.46
Natalia Zabiiako Alexander Enbert,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,122.53,55.50,61.27,61.26
Natalia Zabiiako Alexander Enbert,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,121.20,53.40,59.42,62.78
Natalia Zabiiako Alexander Enbert,rus,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",long,128.01,54.70,63.93,65.08
Natalia Zabiiako Alexander Enbert,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",long,114.34,54.20,57.94,56.40
Wenjing Sui Cong Han,chn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,75.82,32.30,39.64,37.18
Wenjing Sui Cong Han,chn,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,79.43,31.80,41.74,37.69
Wenjing Sui Cong Han,chn,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,80.14,32.50,42.60,37.54
Wenjing Sui Cong Han,chn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,81.23,33.80,44.40,36.83
Wenjing Sui Cong Han,chn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,80.75,34.30,44.83,35.92
Wenjing Sui Cong Han,chn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,155.07,63.30,79.24,75.83
Wenjing Sui Cong Han,chn,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,155.10,62.80,78.54,76.56
Wenjing Sui Cong Han,chn,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,150.93,60.30,74.81,76.12
Wenjing Sui Cong Han,chn,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,150.83,61.60,76.78,75.05
Wenjing Sui Cong Han,chn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,144.28,57.80,71.45,73.83
Vanessa James Morgan Cipres,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,75.52,32.10,40.07,35.45
Vanessa James Morgan Cipres,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,73.18,31.70,38.47,34.71
Vanessa James Morgan Cipres,fra,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,73.04,31.30,38.55,34.49
Vanessa James Morgan Cipres,fra,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,73.48,32.00,39.72,34.76
Vanessa James Morgan Cipres,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,70.10,33.30,38.39,32.71
Vanessa James Morgan Cipres,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,74.18,33.90,41.42,32.76
Vanessa James Morgan Cipres,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,66.05,32.50,35.16,30.89
Vanessa James Morgan Cipres,fra,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,65.78,31.90,34.84,30.94
Vanessa James Morgan Cipres,fra,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,65.58,33.20,35.58,31.00
Vanessa James Morgan Cipres,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,134.65,58.10,63.62,71.03
Vanessa James Morgan Cipres,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,141.14,61.20,70.95,70.19
Vanessa James Morgan Cipres,fra,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,141.33,60.80,70.70,70.63
Vanessa James Morgan Cipres,fra,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",long,137.00,58.80,67.44,70.56
Vanessa James Morgan Cipres,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,134.58,59.20,67.99,67.59
Vanessa James Morgan Cipres,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,145.84,63.70,74.27,71.57
Vanessa James Morgan Cipres,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,132.53,61.60,67.91,64.62
Vanessa James Morgan Cipres,fra,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,108.87,56.00,52.60,59.27
Vanessa James Morgan Cipres,fra,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",long,133.32,60.90,68.64,65.68
Valentina Marchei Ondrej Hotarek,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,71.89,32.50,39.32,32.57
Valentina Marchei Ondrej Hotarek,ita,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,59.53,30.60,29.28,31.25
Valentina Marchei Ondrej Hotarek,ita,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,68.48,31.00,36.13,32.35
Valentina Marchei Ondrej Hotarek,ita,2017 Warsaw Cup,Warsaw / POL,"Nov. 19, 2017",short,66.70,32.50,36.94,29.76
Valentina Marchei Ondrej Hotarek,ita,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,61.32,28.20,31.04,30.28
Valentina Marchei Ondrej Hotarek,ita,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,71.04,33.80,40.24,30.80
Valentina Marchei Ondrej Hotarek,ita,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,66.53,33.40,36.01,30.52
Valentina Marchei Ondrej Hotarek,ita,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,66.82,33.80,36.80,30.02
Valentina Marchei Ondrej Hotarek,ita,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,62.49,35.00,33.97,28.52
Valentina Marchei Ondrej Hotarek,ita,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",short,59.40,33.00,32.04,29.36
Valentina Marchei Ondrej Hotarek,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,132.31,57.30,65.39,66.92
Valentina Marchei Ondrej Hotarek,ita,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,128.48,58.00,63.23,65.25
Valentina Marchei Ondrej Hotarek,ita,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,125.15,58.70,62.70,64.45
